Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Increased_Cost Estimate,US East (N. Virginia),Amazon EC2,0,3292.2316,39506.78,USD,"Operating system (Linux), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (100 GB), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Data Transfer, Workload (Daily, (Workload days: Monday, Tuesday, Wednesday, Thursday, Friday, Baseline: 12, Peak: 24, Duration of peak: 8 Hr 00 Min)), Advance EC2 instance (t3.2xlarge), Pricing strategy (undefined 1 Year  None upfront), Data transfer cost (481.19)"
Increased_Cost Estimate,US East (N. Virginia),Amazon RDS for SQL server,0,14132.640000000001,169591.68,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 TB), Number of nodes (4), Instance type (db.m4.xlarge), Deployment option (Multi-AZ), Pricing model (Reserved), License (License included), Database edition (Enterprise), Term (1yr), Purchase option (No Upfront), Additional backup storage (1 TB)"
Increased_Cost Estimate,US East (N. Virginia),S3 Standard,0,47.1,565.20,USD,S3 Standard storage (2 TB per month)
Increased_Cost Estimate,US East (N. Virginia),Data Transfer,0,92.07,1104.84,USD," Inbound (from: Internet) 1 TB per month 
 Outbound (to: Internet) 1 TB per month 
"
Increased_Cost Estimate,US East (N. Virginia),Elastic Load Balancing,0,71.78,861.36,USD,Number of Application Load Balancers (2)
Increased_Cost Estimate,US East (N. Virginia),Amazon Elastic IP,0,0,0.00,USD,"Number of EC2 instances (16), Number of EIPs per instance (1)"
Increased_Cost Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,184.23,2210.76,USD," Inbound (from: Internet) 2 TB per month 
 Outbound (to: Internet) 2 TB per month 
 Intra-Region 0 TB per month 
"
Increased_Cost Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,493.65,5923.80,USD,Number of NAT Gateways (1)



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
